"","X","title","year","length","budget","rating","votes","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"36435",36435,"Night of the Living Dead",1990,88,4200000,6.1,2562,0,0,0,0,0,0,0
"36455",36455,"Night to Remember, A",1958,123,1680000,7.7,2476,1,0,0,1,0,0,0
"36479",36479,"Nightmare Before Christmas, The",1993,76,18000000,7.8,19646,0,1,0,0,0,0,0
"36484",36484,"Nightmare On Elm Street 3: Dream Warriors, A",1987,88,4000000,5.8,4962,0,0,1,0,0,0,0
"36485",36485,"Nightmare On Elm Street 4: The Dream Master, A",1988,99,13000000,4.8,3856,0,0,1,0,0,0,0
"36486",36486,"Nightmare On Elm Street Part 2: Freddy's Revenge, A",1985,87,3000000,4.5,4488,0,0,1,0,0,0,0
"36487",36487,"Nightmare On Elm Street, A",1984,91,1800000,7.1,12590,0,0,0,0,0,0,0
"36488",36488,"Nightmare On Elm Street: The Dream Child, A",1989,89,6000000,4.3,2988,0,0,1,0,0,0,0
"36525",36525,"Nil by Mouth",1997,128,9000000,6.9,1159,0,0,0,1,0,0,0
"36578",36578,"Ninotchka",1939,100,1365000,7.9,2388,0,0,1,0,0,1,0
"36580",36580,"Ninth Gate, The",1999,133,38000000,6.4,16291,0,0,0,0,0,0,0
"36613",36613,"Nixon",1995,212,50000000,6.8,5837,0,0,0,1,0,0,0
"36638",36638,"No Escape",1994,118,20000000,5.6,2372,1,0,0,0,0,0,0
"36801",36801,"Nochnoy dozor",2004,115,4200000,6.3,1020,1,0,0,0,0,0,0
"36896",36896,"North",1994,87,40000000,4.1,2539,0,0,1,1,0,0,0
"36907",36907,"North by Northwest",1959,136,4000000,8.6,35648,0,0,0,0,0,0,0
"36924",36924,"Northfork",2003,103,1900000,6.2,1521,0,0,0,1,0,0,0
"36964",36964,"Not Another Teen Movie",2001,89,16000000,5.2,10295,0,0,1,0,0,0,0
"36987",36987,"Notebook, The",2004,123,30000000,7.8,8830,0,0,0,1,0,1,0
"36994",36994,"Nothing But Trouble",1991,94,40000000,3.7,3909,0,0,1,0,0,0,0
"37013",37013,"Notorious",1946,101,2000000,8.3,10637,0,0,0,0,0,1,0
"37037",37037,"Notting Hill",1999,124,42000000,7,27285,0,0,1,1,0,1,0
"37071",37071,"Novocaine",2001,95,6000000,5.9,2829,0,0,1,1,0,0,0
"37136",37136,"Nueve reinas",2000,114,1500000,7.6,3721,0,0,0,1,0,0,0
"37179",37179,"Nun's Story, The",1959,149,3500000,7.4,1197,0,0,0,1,0,0,0
"37194",37194,"Nurse Betty",2000,110,24000000,6.6,10441,0,0,1,1,0,1,0
"37214",37214,"Nutty Professor II: The Klumps",2000,109,84000000,4.5,5825,0,0,1,0,0,0,0
"37216",37216,"Nutty Professor, The",1996,95,54000000,5.8,12273,0,0,1,0,0,1,0
"37228",37228,"O",2001,95,5000000,6.3,4555,0,0,0,1,0,1,0
"37231",37231,"O Brother, Where Art Thou?",2000,106,26000000,7.8,37961,0,0,1,0,0,0,0
"37274",37274,"Object of My Affection, The",1998,111,15000000,6,4027,0,0,1,1,0,1,0
"37324",37324,"Ocean's Eleven",2001,116,85000000,7.5,44662,0,0,1,0,0,0,0
"37325",37325,"Ocean's Twelve",2004,125,110000000,6,14797,0,0,1,0,0,0,0
"37345",37345,"Octopussy",1983,131,27500000,6.4,8331,1,0,0,0,0,0,0
"37445",37445,"Office Space",1999,89,10000000,7.7,26134,0,0,1,0,0,0,0
"37551",37551,"Oklahoma!",1955,145,5000000,7.2,1873,0,0,0,0,0,1,0
"37614",37614,"Old School",2003,92,24000000,6.7,14283,0,0,1,0,0,0,0
"37655",37655,"Oliver!",1968,153,10000000,7.3,3310,0,0,0,1,0,0,0
"37702",37702,"Omega Code, The",1999,100,8000000,3.5,2224,1,0,0,1,0,0,0
"37708",37708,"Omen, The",1976,107,2800000,7.3,7895,0,0,0,1,0,0,0
"37724",37724,"On Her Majesty's Secret Service",1969,140,7000000,6.7,7219,1,0,0,0,0,1,0
"37776",37776,"On the Line",2001,85,10000000,4.1,1013,0,0,1,0,0,1,0
"37792",37792,"On the Town",1949,98,2111250,7.7,1898,0,0,1,0,0,0,0
"37794",37794,"On the Waterfront",1954,108,910000,8.4,12803,0,0,0,1,0,1,0
"37803",37803,"Once Bitten",1985,94,3200000,4.8,1556,0,0,1,0,0,0,0
"37818",37818,"Once Upon a Time in America",1984,227,30000000,8.2,19292,0,0,0,1,0,0,0
"37819",37819,"Once Upon a Time in Mexico",2003,102,29000000,6,14732,1,0,0,0,0,0,0
"37869",37869,"One Eight Seven",1997,119,23000000,6.3,2958,0,0,0,1,0,0,0
"37876",37876,"One Flew Over the Cuckoo's Nest",1975,133,4400000,8.7,70234,0,0,0,1,0,0,0
"37891",37891,"One Hour Photo",2002,96,12000000,7.1,17130,0,0,0,1,0,0,0
"37894",37894,"One Hundred and One Dalmatians",1961,79,4000000,7.1,5942,0,1,1,0,0,0,0
"37930",37930,"One Night Stand",1997,102,24000000,5.7,1709,0,0,0,1,0,0,0
"37964",37964,"One True Thing",1998,127,30000000,7,2534,0,0,0,1,0,0,0
"37993",37993,"One, Two, Three",1961,115,3000000,7.8,2551,0,0,1,0,0,0,0
"37996",37996,"Onegin",1999,106,14000000,6.3,1327,0,0,0,1,0,1,0
"38061",38061,"Open Range",2003,139,26000000,7.5,8799,0,0,0,1,0,0,0
"38066",38066,"Open Water",2003,79,130000,6.1,7204,0,0,0,1,0,0,0
"38072",38072,"Opera",1987,88,8000000,6.9,1136,0,0,0,0,0,0,0
"38155",38155,"Orange County",2002,82,18000000,6.1,8526,0,0,1,1,0,0,0
"38174",38174,"Order, The",2003,102,38000000,4.6,3004,0,0,0,0,0,0,0
"38182",38182,"Ordinary People",1980,124,6000000,7.9,6785,0,0,0,1,0,0,0
"38203",38203,"Orgazmo",1997,92,1000000,5.7,5128,0,0,1,0,0,0,0
"38215",38215,"Original Kings of Comedy, The",2000,115,3000000,6.1,1386,0,0,1,0,1,0,0
"38219",38219,"Original Sin",2001,116,26000000,5.5,4592,0,0,0,1,0,1,0
"38231",38231,"Orlando",1992,95,5000000,6.8,1942,0,0,0,1,0,1,0
"38262",38262,"Osama",2003,83,46000,7.5,1546,0,0,0,1,0,0,0
"38279",38279,"Osmosis Jones",2001,95,75000000,6.2,3410,0,1,1,0,0,0,0
"38322",38322,"Othello",1995,123,11000000,6.8,1852,0,0,0,1,0,0,0
"38349",38349,"Others, The",2001,104,17000000,7.8,36914,0,0,0,1,0,0,0
"38441",38441,"Out Cold",2001,92,11000000,5.2,1990,0,0,1,0,0,0,0
"38455",38455,"Out of Africa",1985,160,31000000,6.9,6797,0,0,0,1,0,1,0
"38473",38473,"Out of Sight",1998,123,48000000,7.3,18776,0,0,1,1,0,1,0
"38502",38502,"Out-of-Towners, The",1999,90,40000000,5,2919,0,0,1,0,0,0,0
"38505",38505,"Outbreak",1995,127,50000000,6.4,13796,0,0,0,1,0,0,0
"38520",38520,"Outfoxed: Rupert Murdoch's War on Journalism",2004,88,200000,7.8,1382,0,0,0,0,1,0,0
"38522",38522,"Outland",1981,109,16000000,6.3,3539,1,0,0,0,0,0,0
"38547",38547,"Outside Providence",1999,96,7000000,6.1,2735,0,0,1,1,0,1,0
"38553",38553,"Outsiders, The",1983,91,10000000,6.8,7125,0,0,0,1,0,0,0
"38588",38588,"Overnight Delivery",1998,87,12000000,5.9,1229,0,0,1,0,0,1,0
"38605",38605,"Owning Mahowny",2003,104,10000000,7,1999,0,0,0,1,0,0,0
"38643",38643,"PCU",1994,79,9000000,5.9,2963,0,0,1,0,0,0,0
"38668",38668,"Pacifier, The",2005,95,56000000,4.9,2179,1,0,1,0,0,0,0
"38730",38730,"Paint Your Wagon",1969,158,20000000,6.5,2011,0,0,1,0,0,0,0
"38767",38767,"Pale Rider",1985,115,6900000,6.9,4487,0,0,0,0,0,0,0
"38849",38849,"Panic",2000,88,1000000,6.9,2524,0,0,1,1,0,0,0
"38852",38852,"Panic Room",2002,113,48000000,7,24302,0,0,0,1,0,0,0
"38903",38903,"Paparazzi",2004,84,20000000,5.6,2028,0,0,0,1,0,0,0
"38930",38930,"Papillon",1973,150,12000000,7.8,9553,0,0,0,1,0,0,0
"38961",38961,"Paradine Case, The",1947,94,4258000,6.3,1243,0,0,0,1,0,0,0
"39144",39144,"Party Monster",2003,98,5000000,5.8,1976,0,0,0,1,0,0,0
"39151",39151,"Party, The",1968,99,1500000,7.4,4235,0,0,1,0,0,0,0
"39243",39243,"Passion of the Christ, The",2004,127,30000000,7.4,34046,0,0,0,1,0,0,0
"39275",39275,"Pat Garrett and Billy the Kid",1973,122,4638783,6.9,1469,0,0,0,0,0,0,0
"39282",39282,"Patch Adams",1998,115,50000000,6.1,12110,0,0,1,1,0,0,0
"39295",39295,"Paths of Glory",1957,87,935000,8.6,14391,0,0,0,1,0,0,0
"39307",39307,"Patriot Games",1992,117,45000000,6.8,12751,1,0,0,1,0,0,0
"39310",39310,"Patriot, The",2000,164,110000000,6.8,29665,1,0,0,1,0,0,0
"39328",39328,"Patton",1970,172,12000000,8.2,14351,0,0,0,1,0,0,0
"39364",39364,"Pawnbroker, The",1964,116,500000,7.6,1107,0,0,0,1,0,0,0
"39370",39370,"Pay It Forward",2000,123,40000000,6.7,13531,0,0,0,1,0,1,0
"39376",39376,"Payback",1999,100,50000000,6.8,18252,0,0,0,0,0,0,0
"39377",39377,"Paycheck",2003,119,60000000,6.1,10383,1,0,0,0,0,0,0
"39399",39399,"Peacemaker, The",1997,124,50000000,5.9,8994,1,0,0,0,0,0,0
"39408",39408,"Pearl Harbor",2001,184,135250000,5.4,33409,1,0,0,1,0,1,0
"39433",39433,"Pecker",1998,87,6000000,6.4,4013,0,0,1,0,0,0,0
"39445",39445,"Pee-wee's Big Adventure",1985,90,6000000,6.7,7552,0,0,1,0,0,0,0
"39460",39460,"Peggy Sue Got Married",1986,104,18000000,6.3,5797,0,0,1,1,0,0,0
"39506",39506,"Pennies from Heaven",1981,108,22000000,6.3,1109,0,0,1,1,0,1,0
"39566",39566,"Per un pugno di dollari",1964,99,200000,7.8,8998,1,0,0,0,0,0,0
"39608",39608,"Perfect Storm, The",2000,130,120000000,6.2,24946,1,0,0,1,0,0,0
"39709",39709,"Pest, The",1997,84,17000000,3.8,1405,0,0,1,0,0,0,0
"39717",39717,"Pet Sematary",1989,103,11500000,5.7,5718,0,0,0,0,0,0,0
"39718",39718,"Pet Sematary II",1992,96,8000000,3.7,1979,0,0,0,0,0,0,0
"39723",39723,"Pete's Dragon",1977,130,10000000,5.8,1584,0,1,0,0,0,0,0
"39728",39728,"Peter Pan",1953,76,4000000,7.2,4891,0,1,0,0,0,0,0
"39729",39729,"Peter Pan",2003,113,100000000,7.2,5596,1,0,0,0,0,0,0
"39783",39783,"Petrified Forest, The",1936,83,500000,7.5,1519,0,0,0,1,0,0,0
"39811",39811,"Phantasm",1979,88,300000,6.2,2406,0,0,0,0,0,0,0
"39812",39812,"Phantasm II",1988,97,3000000,5.4,1005,0,0,0,0,0,0,0
"39851",39851,"Phantom of the Opera, The",2004,143,60000000,7.2,11283,0,0,0,1,0,1,0
"39852",39852,"Phantom of the Paradise",1974,92,1300000,6.8,1961,0,0,1,0,0,0,0
"39859",39859,"Phantom, The",1996,100,45000000,5,3329,1,0,0,0,0,0,0
"39872",39872,"Phenomena",1985,82,3800000,6.5,1590,0,0,0,0,0,0,0
"39873",39873,"Phenomenon",1996,123,32000000,6.3,12075,0,0,0,1,0,1,0
"39878",39878,"Philadelphia",1993,125,26000000,7.5,17861,0,0,0,1,0,0,0
"39897",39897,"Phone Booth",2002,81,10000000,7.3,21075,0,0,0,0,0,0,0
"39915",39915,"Pi",1998,84,60000,7.5,19431,0,0,0,0,0,0,0
"39925",39925,"Pianist, The",2002,150,35000000,8.5,30467,0,0,0,1,0,0,0
"39929",39929,"Piano, The",1993,121,7000000,7.4,12394,0,0,0,1,0,1,0
"39982",39982,"Picture Perfect",1997,105,19000000,5.6,3019,0,0,1,0,0,1,0
"39986",39986,"Picture of Dorian Gray, The",1945,110,3500000,7.6,1456,0,0,0,1,0,0,0
"40001",40001,"Pieces of April",2003,80,300000,7.3,4604,0,0,1,1,0,0,0
"40032",40032,"Pierrot le fou",1965,110,300000,7.3,1478,0,0,0,1,0,0,0
"40107",40107,"Pink Flamingos",1972,108,12000,6.1,2029,0,0,1,0,0,0,0
"40128",40128,"Pink Panther Strikes Again, The",1976,103,6000000,6.9,3394,0,0,1,0,0,0,0
"40161",40161,"Pinocchio",1940,88,2600000,7.7,6805,0,1,0,0,0,0,0
"40193",40193,"Piranha",1978,94,660000,5.4,1553,0,0,1,0,0,0,0
"40210",40210,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,143,125000000,8,60812,1,0,1,0,0,0,0
"40246",40246,"Pit and the Pendulum",1961,80,200000,6.8,1072,0,0,0,0,0,0,0
"40251",40251,"Pitch Black",2000,112,23000000,6.7,18522,0,0,0,0,0,0,0
"40284",40284,"Place in the Sun, A",1951,122,2295304,7.7,2191,0,0,0,1,0,1,0
"40313",40313,"Plan 9 from Outer Space",1959,79,60000,3.5,7522,0,0,0,0,0,0,0
"40329",40329,"Planet of the Apes",1968,107,5800000,7.9,20516,1,0,0,1,0,0,0
"40330",40330,"Planet of the Apes",2001,119,100000000,5.6,28601,1,0,0,0,0,0,0
"40360",40360,"Platoon",1986,120,6000000,8.1,35210,1,0,0,1,0,0,0
"40373",40373,"Play It to the Bone",1999,124,24000000,5.1,2645,0,0,1,1,0,0,0
"40406",40406,"Playing by Heart",1998,121,14000000,7.1,4958,0,0,0,1,0,1,0
"40421",40421,"Pleasantville",1998,124,40000000,7.5,22561,0,0,1,1,0,0,0
"40447",40447,"Pledge, The",2001,123,45000000,6.9,9852,0,0,0,1,0,0,0
"40524",40524,"Pocahontas",1995,81,55000000,5.7,6498,0,1,0,0,0,1,0
"40551",40551,"Poetic Justice",1993,109,14000000,5,1207,0,0,0,1,0,1,0
"40561",40561,"Point Blank",1967,92,3000000,7.4,1642,1,0,0,1,0,0,0
"40563",40563,"Point Break",1991,120,24000000,6.5,11180,1,0,0,1,0,0,0
"40579",40579,"Poison Ivy",1992,93,3000000,5,2436,0,0,0,1,0,0,0
"40603",40603,"Polar Express, The",2004,99,150000000,6.8,4045,0,1,0,0,0,0,0
"40614",40614,"Police Academy",1984,96,4500000,5.7,8268,0,0,1,0,0,0,0
"40649",40649,"Pollock",2000,132,6000000,7.1,4013,0,0,0,1,0,0,0
"40657",40657,"Poltergeist",1982,114,10700000,7.3,11575,0,0,0,0,0,0,0
"40658",40658,"Poltergeist II: The Other Side",1986,130,19000000,4.9,2482,0,0,0,0,0,0,0
"40659",40659,"Poltergeist III",1988,98,9500000,3.7,2081,0,0,0,0,0,0,0
"40663",40663,"Polyester",1981,86,300000,6.5,1115,0,0,1,0,0,0,0
"40694",40694,"Poolhall Junkies",2002,94,4000000,6.6,1411,0,0,0,1,0,0,0
"40707",40707,"Pootie Tang",2001,70,3000000,4.1,1921,1,0,1,0,0,0,0
"40723",40723,"Popeye",1980,115,20000000,4.8,4822,0,0,1,0,0,0,0
"40775",40775,"Porky's",1982,94,4000000,5.4,5483,0,0,1,0,0,0,0
"40790",40790,"Porky's II: The Next Day",1983,98,6500000,4,1623,0,0,1,0,0,0,0
"40805",40805,"Porky's Revenge",1985,92,9000000,3.7,1143,0,0,1,0,0,0,0
"40875",40875,"Poseidon Adventure, The",1972,117,5000000,6.8,5591,1,0,0,1,0,0,0
"40916",40916,"Postino, Il",1994,108,3000000,7.6,8342,0,0,1,1,0,1,0
"40921",40921,"Postman, The",1997,177,80000000,5.2,8773,1,0,0,1,0,0,0
"41002",41002,"Powerpuff Girls, The",2002,73,10000000,6.2,1334,1,1,1,0,0,0,0
"41014",41014,"Practical Magic",1998,103,60000000,5.4,7786,0,0,0,1,0,1,0
"41057",41057,"Predator",1987,107,18000000,7.4,25254,1,0,0,0,0,0,0
"41153",41153,"Pretty Woman",1990,125,14000000,6.6,23316,0,0,1,0,0,1,0
"41205",41205,"Primal Fear",1996,129,30000000,7.5,12467,0,0,0,1,0,0,0
"41208",41208,"Primary Colors",1998,143,65000000,6.8,7756,0,0,1,1,0,0,0
"41224",41224,"Primer",2004,77,7000,6.4,1466,0,0,0,1,0,0,0
"41255",41255,"Prince of Darkness",1987,102,3000000,6.1,2817,0,0,0,0,0,0,0
"41256",41256,"Prince of Egypt, The",1998,99,60000000,6.9,9212,0,1,0,1,0,0,0
"41264",41264,"Prince of Tides, The",1991,132,30000000,6.3,3095,0,0,0,1,0,1,0
"41272",41272,"Princess Bride, The",1987,98,16000000,8.2,53946,0,0,1,0,0,1,0
"41276",41276,"Princess Diaries 2: Royal Engagement, The",2004,115,40000000,5.3,2605,0,0,1,0,0,1,0
"41277",41277,"Princess Diaries, The",2001,114,37000000,6,6892,0,0,1,0,0,0,0
"41362",41362,"Private Parts",1997,109,20000000,6.6,9289,0,0,1,1,0,0,0
"41411",41411,"Producers, The",1968,88,941000,7.8,8142,0,0,1,0,0,0,0
"41494",41494,"Proof of Life",2000,135,65000000,6.3,9592,1,0,0,1,0,0,0
"41503",41503,"Prophecy, The",1995,98,8000000,6.4,4148,0,0,0,0,0,0,0
"41587",41587,"Psycho",1960,108,806947,8.6,53962,0,0,0,0,0,0,0
"41588",41588,"Psycho",1998,105,20000000,5,7255,0,0,0,0,0,0,0
"41589",41589,"Psycho Beach Party",2000,95,1500000,5.7,1404,0,0,1,0,0,0,0
"41593",41593,"Psycho II",1983,113,5000000,5.7,2228,0,0,0,0,0,0,0
"41662",41662,"Pulp Fiction",1994,168,8000000,8.8,132745,0,0,0,1,0,0,0
"41671",41671,"Pumpkinhead",1989,86,3500000,5.4,1275,0,0,0,0,0,0,0
"41680",41680,"Punch-Drunk Love",2002,95,25000000,7.5,18169,0,0,1,1,0,1,0
"41683",41683,"Punisher, The",1989,92,10000000,4.7,2007,1,0,0,0,0,0,0
"41684",41684,"Punisher, The",2004,124,33000000,6.2,9989,1,0,0,0,0,0,0
"41751",41751,"Purple Rose of Cairo, The",1985,84,15000000,7.5,5273,0,0,1,0,0,1,0
"41767",41767,"Pushing Tin",1999,119,33000000,5.9,7528,0,0,1,1,0,0,0
"41933",41933,"Queen of the Damned",2002,104,35000000,4.7,6999,0,0,0,0,0,0,0
"41993",41993,"Quick and the Dead, The",1995,107,32000000,6.1,8837,1,0,0,0,0,0,0
"42005",42005,"Quiet American, The",2002,101,30000000,7.4,5957,0,0,0,1,0,1,0
"42021",42021,"Quigley Down Under",1990,119,20000000,6.2,2315,0,0,0,1,0,0,0
"42039",42039,"Quo Vadis",1951,166,7000000,6.9,1273,0,0,0,1,0,0,0
"42080",42080,"Rabbit-Proof Fence",2002,94,6000000,7.7,5079,0,0,0,1,0,0,0
"42133",42133,"Radio",2003,109,35000000,6.9,3594,0,0,0,1,0,0,0
"42136",42136,"Radio Days",1987,85,16000000,7.4,3989,0,0,1,1,0,0,0
"42138",42138,"Radio Flyer",1992,114,35000000,6.4,2447,0,0,0,1,0,0,0
"42209",42209,"Rage: Carrie 2, The",1999,104,21000000,4.4,3280,0,0,0,0,0,0,0
"42219",42219,"Raging Bull",1980,129,18000000,8.4,26739,0,0,0,1,0,0,0
"42237",42237,"Raiders of the Lost Ark",1981,115,20000000,8.7,93511,1,0,0,0,0,0,0
"42250",42250,"Rain Man",1988,133,25000000,7.9,42562,0,0,1,1,0,0,0
"42276",42276,"Rainmaker, The",1997,135,40000000,6.8,8620,0,0,0,1,0,0,0
"42283",42283,"Raise Your Voice",2004,103,15000000,4.3,1626,0,0,0,1,0,1,0
"42286",42286,"Raising Arizona",1987,94,6000000,7.6,19991,0,0,1,0,0,0,0
"42287",42287,"Raising Cain",1992,91,11000000,5.4,1885,0,0,0,0,0,0,0
"42290",42290,"Raising Victor Vargas",2002,88,800000,6.7,1785,0,0,1,1,0,1,0
"42322",42322,"Rambo III",1988,101,65000000,4.1,7631,1,0,0,0,0,0,0
"42323",42323,"Rambo: First Blood Part II",1985,94,44000000,5.1,9479,1,0,0,1,0,0,0
"42336",42336,"Ran",1985,160,11500000,8.4,11981,1,0,0,1,0,0,0
"42347",42347,"Random Hearts",1999,133,64000000,4.8,5919,0,0,0,1,0,1,0
"42360",42360,"Ransom",1996,139,80000000,6.6,17678,1,0,0,1,0,0,0
"42410",42410,"Rat Race",2001,112,48000000,6.5,13913,0,0,1,0,0,0,0
"42463",42463,"Ravenous",1999,108,12000000,6.7,5915,0,0,1,1,0,0,0
"42511",42511,"Re-Animator",1985,95,900000,6.9,3546,0,0,1,0,0,0,0
"42525",42525,"Real Cancun, The",2003,96,8000000,2.8,1504,0,0,0,0,1,0,0
"42542",42542,"Real Women Have Curves",2002,87,3000000,7,1944,0,0,1,1,0,0,0
"42555",42555,"Rear Window",1954,112,2000000,8.7,41035,0,0,0,0,0,0,0
"42565",42565,"Rebecca",1940,130,1288000,8.3,11403,0,0,0,1,0,1,0
"42575",42575,"Rebel Without a Cause",1955,111,1500000,7.8,11055,0,0,0,1,0,0,0
"42632",42632,"Red Dragon",2002,124,90000000,7.3,21089,0,0,0,0,0,0,0
"42658",42658,"Red Planet",2000,106,75000000,5.3,8623,1,0,0,0,0,0,0
"42669",42669,"Red Rock West",1992,98,8000000,7,3861,0,0,0,0,0,0,0
"42680",42680,"Red Sonja",1985,89,17900000,4.3,3947,1,0,0,0,0,0,0
"42709",42709,"Reds",1981,194,35000000,7.1,2394,0,0,0,1,0,1,0
"42716",42716,"Ref, The",1994,93,11000000,6.8,4791,0,0,1,0,0,0,0
"42773",42773,"Reign of Fire",2002,101,95000000,5.8,11452,1,0,0,0,0,0,0
"42784",42784,"Reindeer Games",2000,124,36000000,5.5,7120,1,0,0,1,0,0,0
"42812",42812,"Relic, The",1997,110,40000000,5.3,5102,0,0,0,0,0,0,0
"42824",42824,"Remains of the Day, The",1993,134,15000000,7.8,10310,0,0,0,1,0,1,0
"42841",42841,"Remember the Titans",2000,113,30000000,7.4,14195,0,0,0,1,0,0,0
"42865",42865,"Renaissance Man",1994,128,40000000,5.7,3196,0,0,1,1,0,0,0
"42922",42922,"Replacement Killers, The",1998,87,30000000,5.8,6825,1,0,0,0,0,0,0
"42923",42923,"Replacements, The",2000,114,50000000,6.2,7617,0,0,1,0,0,0,0
"42929",42929,"Repo Man",1984,92,1500000,6.8,4954,1,0,1,0,0,0,0
"42949",42949,"Requiem for a Dream",2000,102,4500000,8.4,47845,0,0,0,1,0,0,0
"42967",42967,"Reservoir Dogs",1992,99,1200000,8.3,69240,0,0,0,0,0,0,0
"42972",42972,"Resident Evil",2002,100,35000000,6.2,18978,1,0,0,0,0,0,0
"42973",42973,"Resident Evil: Apocalypse",2004,94,50000000,5.6,10486,1,0,0,0,0,0,0
"42997",42997,"Restoration",1995,117,18000000,6.6,1874,0,0,0,1,0,0,0
"43070",43070,"Return of the Living Dead 3",1993,97,2000000,5.3,1386,0,0,0,0,0,0,0
"43071",43071,"Return of the Living Dead Part II",1988,86,6200000,4.8,1275,0,0,1,0,0,0,0
"43072",43072,"Return of the Living Dead, The",1985,91,4000000,6.7,3344,0,0,1,0,0,0,0
"43075",43075,"Return of the Pink Panther, The",1975,113,5000000,6.8,3136,0,0,1,0,0,0,0
"43081",43081,"Return of the Texas Chainsaw Massacre, The",1994,86,600000,2.6,2634,0,0,1,0,0,0,0
"43090",43090,"Return to Me",2000,115,24000000,6.9,5057,0,0,1,1,0,1,0
"43092",43092,"Return to Oz",1985,113,27000000,6.3,2225,0,0,0,0,0,0,0
"43134",43134,"Revenge of the Nerds",1984,90,8000000,6,6007,0,0,1,0,0,0,0
"43271",43271,"Ride the High Country",1962,94,813000,7.5,1383,0,0,0,0,0,0,0
"43309",43309,"Riding in Cars with Boys",2001,132,48000000,6.2,4627,0,0,1,1,0,0,0
"43339",43339,"Right Stuff, The",1983,193,27000000,7.9,12907,0,0,0,1,0,0,0
"43374",43374,"Ring, The",2002,115,45000000,7.4,30687,0,0,0,1,0,0,0
"43386",43386,"Ringu",1998,96,1200000,7.4,8091,0,0,0,0,0,0,0
"43394",43394,"Rio Grande",1950,105,1214899,7.3,1732,0,0,0,0,0,1,0
"43420",43420,"Ripley's Game",2002,112,30000000,6.6,2680,0,0,0,1,0,0,0
"43447",43447,"Risky Business",1983,98,6200000,6.7,8622,0,0,1,0,0,0,0
"43486",43486,"River Wild, The",1994,111,45000000,6.1,4942,1,0,0,1,0,0,0
"43490",43490,"River's Edge",1986,99,1700000,7.1,2139,0,0,0,1,0,0,0
"43530",43530,"Road Trip",2000,94,15600000,6.3,15981,0,0,1,0,0,0,0
"43535",43535,"Road to El Dorado, The",2000,89,95000000,6.3,2838,1,1,1,0,0,0,0
"43544",43544,"Road to Perdition",2002,117,80000000,7.7,30526,0,0,0,1,0,0,0
"43587",43587,"Rob Roy",1995,133,28000000,6.8,6652,1,0,0,1,0,1,0
"43601",43601,"Robe, The",1953,135,5000000,6.6,1074,0,0,0,1,0,0,0
"43614",43614,"Robin Hood",1973,83,15000000,7.2,3396,0,1,1,0,0,0,0
"43623",43623,"Robin Hood: Prince of Thieves",1991,155,50000000,6.5,20286,1,0,0,1,0,1,0
"43625",43625,"Robin and Marian",1976,106,5000000,6.6,1703,0,0,0,1,0,1,0
"43639",43639,"RoboCop",1987,103,13000000,7.1,15974,1,0,0,0,0,0,0
"43640",43640,"RoboCop 3",1993,104,22000000,3.2,4519,1,0,0,0,0,0,0
"43654",43654,"Robots",2005,91,75000000,6.4,4089,0,1,1,0,0,0,0
"43661",43661,"Rock 'n' Roll High School",1979,93,300000,6.6,1221,0,0,1,0,0,0,0
"43673",43673,"Rock Star",2001,105,38000000,5.8,5100,0,0,1,1,0,0,0
"43681",43681,"Rock, The",1996,136,75000000,7,46184,1,0,0,1,0,0,0
"43716",43716,"Rocky",1976,119,1100000,7.8,22893,0,0,0,1,0,1,0
"43718",43718,"Rocky Horror Picture Show, The",1975,98,1200000,6.8,16737,0,0,1,0,0,0,0
"43721",43721,"Rocky IV",1985,91,31000000,5.3,11503,1,0,0,1,0,0,0
"43742",43742,"Roger & Me",1989,91,160000,7.7,7674,0,0,1,0,1,0,0
"43750",43750,"Rogue Trader",1999,101,12800000,6.1,1379,0,0,0,1,0,0,0
"43778",43778,"Rollerball",2002,97,70000000,2.8,5328,1,0,0,0,0,0,0
"43799",43799,"Roman Holiday",1953,117,1500000,8.1,9431,0,0,1,1,0,1,0
"43848",43848,"Romeo + Juliet",1996,120,14500000,6.7,22306,1,0,0,1,0,1,0
"43851",43851,"Romeo Must Die",2000,115,25000000,5.8,10229,1,0,0,1,0,0,0
"43878",43878,"Ronin",1998,121,55000000,7,21982,1,0,0,0,0,0,0
"43892",43892,"Rookie, The",2002,127,24000000,7.2,5135,0,0,0,1,0,0,0
"43900",43900,"Room with a View, A",1985,117,3000000,7.4,6369,0,0,1,1,0,1,0
"43919",43919,"Rope",1948,80,1500000,7.8,7916,0,0,0,0,0,0,0
"43955",43955,"Rose, The",1979,125,8500000,6.6,1076,0,0,0,1,0,0,0
"43966",43966,"Rosemary's Baby",1968,136,3200000,7.9,12033,0,0,0,1,0,0,0
"43974",43974,"Rosewood",1997,140,31000000,6.8,1840,1,0,0,1,0,0,0
"44035",44035,"Rounders",1998,121,12000000,7.2,13621,0,0,0,1,0,0,0
"44076",44076,"Royal Tenenbaums, The",2001,111,21000000,7.6,31227,0,0,1,1,0,0,0
"44126",44126,"Rugrats Movie, The",1998,79,28000000,5.4,1455,0,1,1,0,0,0,0
"44133",44133,"Rules of Attraction, The",2002,110,4000000,6.7,8552,0,0,1,1,0,1,0
"44134",44134,"Rules of Engagement",2000,128,60000000,6.3,7903,0,0,0,1,0,0,0
